FacilityID,CampsiteLongitude,CampsiteLatitude
234287,-111.745146,34.936023
231882,-106.89591556,39.14211408
231886,-107.702599222,35.234663594
233833,-105.525323,40.638809
233927,-106.560574,39.757264
232462,-105.593360682,40.326528544
234164,-115.6711211345,44.652634736
232163,-115.643479,36.254682
233731,-105.904748,40.793778
231914,-112.25991,37.609209
233812,-105.047423,37.981031
233945,-107.108653,41.273872
231840,-103.482777,43.892672
232011,-114.850651,43.925464
233941,-105.953361,40.142949
233440,-119.875349,37.122204
233808,-105.92803,39.346246
234101,-111.768129,40.622703
234454,-106.912736,44.159633
234532,-112.168004,38.071119
233944,-107.119993,41.283039
232186,-119.892458,39.312187
232469,-155.431234289,58.669456223
234304,-111.553604,44.333678
234470,-112.5067151533,38.2605724317
233536,-120.651245,45.727657
234293,-109.500833333,40.7430555556
234515,-109.369841,33.746257
231867,-106.232707224,38.712508629
231906,-109.648399,40.914986
232299,-111.80632,34.82631
234121,-115.476429,40.692619
234261,-111.08,42.7941666667
234240,-106.3782638732,41.3265687948
234316,-109.519068,40.667493
234606,-109.6215040958,44.4661072038
232388,-103.473541,43.826648
234460,-105.681674,33.358906
233996,-109.480777,40.932541
232465,-121.569064263,46.735090879
233888,-111.802064,34.825333
234286,-114.48251,44.994461
234105,-105.567076841,38.078895921
234246,-106.772612,40.775159
233868,-105.939065,38.745986
234496,-106.377281236,35.175568815
234495,-106.381825292,35.169700124
234550,-112.43481368,34.470885777
234494,-106.408062337,35.214701671
232101,-105.056128059,37.983143205
232473,-116.389470442,34.073442782
234252,-111.319951,43.149993
234588,-106.939802,39.09831
234129,-106.413732,38.989561
234483,-106.423469,37.989612
234034,-116.741761,44.782124
232195,-109.417767981,33.874602592
233489,-106.431149,48.013693
231845,-105.434542697,41.233658615
233961,-115.6087699636,43.9666201595
233932,-105.106853615,38.0920621402
232470,-116.120746502,33.999014926
233447,-98.606848,36.090494
232471,-115.81484835,33.743659167
234531,-112.3004615026,37.4858396111
233881,-115.704062,44.125403
234251,-111.570755,42.053674
234305,-111.251225,44.205729
234266,-111.575969,42.532131
233431,-123.084644,38.777008
232402,-115.6779971828,44.5858424778
232489,-112.059614246,36.210803181
234294,-109.418788,40.73441
234315,-109.682136,40.752528
231855,-105.564625,40.791425
