FacilityID,CampsiteLongitude,CampsiteLatitude
273778,-71.6515160473,44.0129311766
273784,-88.7639602448,46.0773458039
232810,0.0,0.0
273821,-83.111693832,35.749585153
273841,-90.6036309193,36.9783373458
273848,-83.173822593,35.564825606
273844,0.0,0.0
273843,0.0,0.0
233412,0.0,0.0
232514,-82.471198,33.644641
232646,-96.662293,32.25895
233595,-96.645393,33.87647
232174,-71.021601,44.267405
233783,-89.266371,38.656923
234559,-97.238604,31.533016
231991,-87.297426,34.11904
233769,-85.920746,43.87071
233612,-88.945398,38.037204
232537,-87.886075,36.61933
232056,-86.4587001433,39.0204014616
233482,-88.985055,38.039526
232616,-86.446274,36.290051
232658,-86.659877,36.287502
234220,-81.77357,37.597311
234313,-83.9759550753,35.362360099
234236,-82.383117,38.147488
232418,-90.8764579451,36.6686022569
234562,-82.197827,33.657873
233922,-90.17412,45.909928
234227,-82.420415,38.305011
233558,-88.955972,38.054276
233580,-95.413344,39.118149
233686,-90.277454,36.935938
234237,-71.172427,44.19694
232533,-82.828972,34.515185
232635,-96.644946,32.27105
234090,-71.730626,43.188993
233548,-92.244088,44.859403
233576,-95.471694,37.273096
233638,-80.286932,27.108934
232095,-79.38101,38.83209
232424,-79.76767,38.686224
232585,-88.197296,37.022513
232114,-86.636988218,38.135747139
232260,0.0,0.0
232624,-87.910944,36.686738
232712,-97.535388,31.035988
232664,-82.224416,33.783128
234226,-82.987499,38.24645
232882,0.0,0.0
232820,0.0,0.0
234259,-80.99676,36.803785
234238,-71.130037,44.167699
232721,-92.544714,35.078239
232577,-87.842512,36.489586
234167,-88.5621663742,45.8777080742
233951,-94.158628,33.32406
232630,-85.835415,36.100551
234235,-86.599907,46.214948
233897,-82.962574,40.184846
234602,-93.595507,36.612025
234424,-82.974946,35.760899
233577,-95.340722,38.94023
232467,-86.096568204,37.183031055
233106,-86.59952,36.091114
232633,-97.443569,32.647104
234243,-82.344643,37.236269
233520,-93.11606,34.227475
233676,-72.8091,43.161503
234242,-91.94077,34.268608
232257,-84.259187,36.99003
233785,-89.361026,38.625201
233872,-97.48278,31.10515
232641,-97.225922,31.523536
234571,-82.850069,34.623414
234232,-80.621757,38.84438
232556,-86.603182,36.136598
233839,0.0,0.0
233842,0.0,0.0
232527,-82.833041,34.341162
232534,-94.53966,32.74175
232421,-91.83736535,37.80022793
234011,0.0,0.0
233827,-94.1122896193,47.5600920226
233875,-90.787193,37.179587
232728,-97.616469,31.014269
232583,-96.516504,33.037849
234142,-73.090469,41.685781
232629,-86.501529,36.284478
232475,-83.386530521,35.703284395
232476,-83.502327945,35.687512123
232477,-83.648941507,35.679859944
232478,-83.434511353,35.463540093
232479,-83.209851003,35.754268216
232675,-85.439327,36.536805
232722,-88.500347,33.610622
232740,-97.515177,31.115284
232617,-82.222365,33.663086
233452,-91.572262,39.566121
232480,-83.338689001,35.568099142
232482,-83.115477063,35.62929112
232484,-83.107451584,35.754782938
232485,-83.766499512,35.602195286
232062,-82.6282949053,38.6068749171
234560,-97.227335,31.595655
232648,0.0,0.0
232734,-85.775729,36.360669
233582,-80.029495,36.779825
233913,-80.046487,35.439694
233905,-83.211329,39.618301
234371,-93.309991,36.610389
234479,-83.225985,34.864258
233784,-89.23223,38.696435
233528,-89.274573,38.733492
234473,-85.082133,34.585705
232579,-87.827314,36.499197
232614,-94.549408,32.781489
232106,0.0,0.0
232739,-82.209668,33.659853
232637,-97.400337,31.941166
234526,-89.3223418449,46.2309280824
234119,-80.98844,41.014671
233975,-82.970271,35.267909
232678,-83.087084,34.520278
232518,-86.541578,36.324046
234584,-83.870689,35.371354
234176,-71.985984,42.895592
232667,-91.360215,33.988292
233484,-89.355948,38.617361
233614,-88.988415,38.056102
234199,-97.471806,31.227991
232638,-84.718439,34.190668
232609,-87.97585,36.918269
232584,-82.851902,34.362694
232440,-83.771227107,35.603539875
232623,-85.300351,36.603411
233588,-93.585513,47.250064
233359,0.0,0.0
232719,-97.497045,31.134397
232676,-97.493306,32.065223
234222,-82.730696,37.738235
234723,0.0,0.0
234725,-80.081206,35.453674
234258,-81.126357,37.033891
234734,-86.590558,46.161544
233625,-93.418806,38.263436
234109,-81.486628,36.6986
234766,0.0,0.0
232536,-94.49752,32.757358
233906,-80.893813,38.221154
232420,-90.7699626788,36.9204810569
234782,0.0,0.0
232494,-77.050034712,38.716017252
232592,-82.59188,33.946959
249999,0.0,0.0
233947,-82.225834652,35.7487631156
232705,-86.569378,36.24866
233428,-93.398844,38.26045
234256,-81.270485,36.75798
118440,0.0,0.0
234585,-83.869841,35.370934
233109,-82.736958,35.292741
232507,-75.155293484,38.195584187
233477,-89.316675,38.615768
233592,-94.111907,46.669604
233691,-90.282257,36.926286
120990,0.0,0.0
233524,-91.661726,39.551269
234152,-95.956898,36.89252
121740,0.0,0.0
121940,-82.0861765119,36.3204921025
121840,-81.8146221209,36.5944916137
234411,-71.910594,42.122022
121890,-82.2688352597,36.2482399555
123040,-82.6572222,36.1091667
123440,0.0,0.0
233991,-94.179799,33.353884
234036,-81.933897096,35.966935485
251549,-93.029919,41.378994
234471,-83.481233,34.502033
251741,0.0,0.0
251868,-84.64566,34.132209
251968,-86.644531,46.497705
251906,0.0,0.0
253730,-81.4514,30.8327
232337,0.0,0.0
233904,-83.352305,39.247939
233924,-90.268039,45.846455
234087,-85.749506,36.027196
232559,-85.066907,31.67609
232551,-82.189075,33.674573
233417,-93.198849,34.276189
232589,-85.764906,36.045949
232674,0.0,0.0
232706,-82.8165,34.376033
232661,-88.112248,37.056167
232693,-85.632497,36.375742
232538,-87.840998,36.859412
233628,-96.314025,35.952642
233560,-88.990502,38.072415
234370,-83.91542,35.359994
232650,-86.515631,36.349369
234244,-80.695972,38.661011
234229,-80.883744,37.643781
233491,-95.472549,37.268612
232747,-85.34435,36.586834
233935,-92.096793,36.908198
232716,-85.937599,36.281111
233765,-90.43561,45.305542
250005,-77.045703289,38.963558106
250017,-76.960271202,38.878110174
249984,-72.319041,43.003592
234743,-82.664395,35.426745
250007,-79.123232,39.41638
234628,-97.103372,33.001437
249980,-72.232498,42.964321
234715,-74.054650048,40.60013165
250008,-81.283462,36.10435
249983,-72.501499,43.379319
250016,-81.228968,36.130744
250018,-81.226159,36.137175
232834,0.0,0.0
234665,-97.760119,30.675436
233332,-76.41187,34.760411
233333,-76.25656216,34.898281033
233140,-94.5285562214,47.379752036
234697,-93.710792,41.754086
234657,-81.620422,28.985967
233315,-94.524224,32.737783
233287,-93.191508,34.967003
233299,-83.581732784,35.65405296
233369,-81.153042309,36.430451369
233129,0.0,0.0
234658,-86.685562,46.485274
233353,-82.95406,37.234851
234698,-93.688252,41.73858
234687,-77.178832,41.977913
234694,-93.681318,41.694798
233205,-79.537734,37.572577
233212,-86.6437163566,46.2166856414
234689,-77.202587,41.974681
233321,-77.484442516,39.677183076
234678,-85.6209689392,43.7015561321
232456,-86.103138369,45.019314539
232457,-86.042055403,44.891893556
233275,-97.010168314,34.436956965
233201,-78.9797177305,37.9296860658
233309,-73.884493036,40.596830201
233159,-97.002969,33.111242
233330,-73.07492,41.520463
233316,-94.549289,32.789536
233164,-79.505804,37.558944
234050,-96.966086363,34.504704564
234051,-96.986578316,34.498225953
234182,-82.755049499,35.405768711
234681,-79.165,41.7102777778
246892,-80.988972085,25.850815311
234726,-98.291389,29.900977
233907,0.0,0.0
233380,-96.690739,31.962179
233276,-96.983146317,34.490320954
234437,0.0,0.0
233354,-77.028822563,38.706906738
250011,-72.7055,43.0594
234690,-77.113907,41.856484
233311,-95.37668,34.039413
233307,-94.512168,32.749155
233367,-81.515159153,41.226377951
234679,-83.793846611,44.4841857258
233241,-77.449955714,39.640869358
233286,-98.007534,47.161647
233125,-97.239117,31.557078
234748,-84.779687,36.935499
234754,-86.648025,36.299167
234744,-82.711829,35.274545
234752,0.0,0.0
233120,-93.160536202,36.063853479
233124,-94.5219686131,47.3795375406
234231,-83.072699,40.35786
234241,-71.366898,43.996685
233107,-86.472485,35.999795
233446,-93.188877,34.26007
234742,-82.778356,35.352387
234643,-97.82710403,30.69573255
233200,0.0,0.0
234712,-83.578603481,35.65381782
233291,-71.603856,42.112352
234790,-86.685936,46.456123
233403,-79.602269172,37.441554199
234699,-93.674225,41.690801
246890,-81.229927014,25.893989306
234695,-93.680062,41.734696
249992,-84.266657,36.964574
234758,-71.2169502551,44.3257096507
233138,-79.018334,37.919208
233190,-79.969203691,37.9450684934
234655,-86.65528,46.471653
249997,0.0,0.0
250025,-81.278913,36.093736
234696,-93.712928,41.731257
233923,-90.444367,45.326902
234233,-82.415911,37.430686
232442,-86.103031855,37.189442876
233239,-94.27425,31.05838
250024,-84.604813,35.15043
234716,-77.342838631,38.558301295
233370,-88.955173,38.039089
233139,-79.53597,37.576286
250020,-81.238495,36.125893
250034,-84.5482055556,35.2286722222
250818,-82.077067,39.995143
250852,-84.058657,39.489686
233990,-79.583012,38.719408
250874,-96.494938,38.687224
250988,-97.366389,31.877459
251044,-72.366532,43.602678
251045,-72.256756,43.790322
251120,-76.037538,40.389906
251263,-77.729472713,39.45482879
251265,-92.989069,41.366046
251275,-93.030703,41.413336
251468,0.0,0.0
251366,-92.970672,41.376767
251472,0.0,0.0
251453,-96.905478,39.07285
251469,-82.196286,35.690978
251450,-96.885887,39.076617
251363,0.0,0.0
251432,-96.898737,39.092036
251350,-83.752627,39.951531
251545,-77.199743978,38.971562933
251550,0.0,0.0
251539,-93.040014,41.393501
251534,-79.336510722,37.576749878
251564,-72.223041,42.643846
251620,-86.6793388889,46.4538555556
251618,-86.6310555556,46.4772361111
251575,-74.976328423,41.083412436
251624,-76.890174403,38.993543552
251619,-86.6820833333,46.4973583333
251622,-86.6296638889,46.4773583333
251621,-86.6632333333,46.5548472222
234357,-91.48537756,37.334007161
251723,-84.6047040666,35.1517075006
234442,-91.563472,37.376586
251870,-84.733426,34.17283
251867,-84.736143,34.15919
251835,0.0,0.0
251837,0.0,0.0
251785,-81.070379438,37.83732958
251783,-81.064220335,37.829484345
251787,-81.071602872,37.835780423
251786,-81.070140841,37.83627515
251784,-81.065565426,37.83410048
251871,-84.574464,34.19808
251904,-84.986483,30.275475
251923,-84.061539,34.152434
251919,-84.075012,34.168178
251925,-83.945091,34.313754
251920,-84.019894,34.353438
251926,-84.057475,34.152312
251921,-83.953628,34.338352
251924,-83.979752,34.187633
232508,-68.203743843,44.308008997
251966,0.0,0.0
251971,-86.6465055556,46.4862777778
251970,-86.6829861111,46.4909472222
251965,-86.6927694444,46.5562055556
251967,-86.6514,46.4717388889
251955,-80.434699,41.29529
251957,-80.427051,41.284632
251972,-86.6453805556,46.4835
252971,-78.461452139,39.544791287
251975,-86.6529333333,46.5567361111
251960,-80.465753,41.265766
251941,0.0,0.0
